# Case,nve Cone,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs
10_195_-5,-10,195,-5,1,0.003713816,0.002756189,0.021517494,5.70E-06,-0.00147793,0.000156485,2.338369,0.4247551,2.127126,0.1473526,-0.004226809,-0.2482799
10_195_-7,-10,195,-7,1,0.003202378,0.002967111,0.019655342,1.27E-05,-0.001298756,0.000164875,2.141449,0.3708779,1.876587,0.1600575,0.004439186,-0.2700263
10_195_0,-10,195,0,1,0.005058186,0.001448768,0.026396314,-2.07E-05,-0.001926454,7.04E-05,2.854299,0.5642181,2.75231,0.02569415,-0.03831415,-0.1147657
10_195_1,-10,195,1,1,0.005319669,0.001036039,0.027351335,-2.65E-05,-0.002009223,4.00E-05,2.95484,0.5928302,2.867006,-0.01497008,-0.04539258,-0.07393145
10_195_3,-10,195,3,1,0.005789569,0.000125944,0.029384497,-3.99E-05,-0.002184603,-2.78E-05,3.169999,0.645215,3.111042,-0.1043654,-0.06206079,0.01658516
10_195_5,-10,195,5,1,0.006203691,-0.000885596,0.031340751,-5.36E-05,-0.002347257,-0.000106049,3.377398,0.6927574,3.337888,-0.2096709,-0.07935662,0.1198668
10_210_-1,-10,210,-1,1,0.004915107,0.001816667,0.025819006,4.57E-06,-0.001896246,8.48E-05,2.795033,0.5498667,2.71331,0.03394491,-0.004917889,-0.1449093
10_210_-3,-10,210,-3,1,0.004294301,0.002370409,0.023656515,1.56E-05,-0.001693627,0.00012148,2.566471,0.4853681,2.430967,0.08680822,0.009332828,-0.2021042
10_210_-5,-10,210,-5,1,0.003694338,0.002717333,0.021557498,2.36E-05,-0.001492287,0.000140746,2.34454,0.4233173,2.14985,0.1150628,0.01934755,-0.2375148
10_210_-7,-10,210,-7,1,0.003134032,0.002876087,0.019478109,2.87E-05,-0.001288628,0.000145103,2.124768,0.3640075,1.865184,0.1220526,0.02506268,-0.2535489
